algorithm,generatorLabel,generatorType,entropy,size,run,comparisons,swaps,accesses,timeMs
"PancakeSort","reverse entropy | h=0,50 | n=1000 | run=2","reverse_entropy",0.50,1000,2,501498,113727,1457904,68
"PancakeSort","reverse entropy | h=0,50 | n=1000 | run=3","reverse_entropy",0.50,1000,3,501498,99023,1399088,79
"PancakeSort","reverse entropy | h=0,50 | n=1000 | run=4","reverse_entropy",0.50,1000,4,501498,100093,1403368,78
"PancakeSort","entropy | h=0,75 | n=1000 | run=1","entropy",0.75,1000,1,501498,362566,2453260,113
"PancakeSort","entropy | h=0,75 | n=1000 | run=2","entropy",0.75,1000,2,501498,357752,2434004,122
"PancakeSort","entropy | h=0,75 | n=1000 | run=3","entropy",0.75,1000,3,501498,353968,2418868,148
"PancakeSort","entropy | h=0,75 | n=1000 | run=4","entropy",0.75,1000,4,501498,365478,2464908,110
"PancakeSort","reverse entropy | h=0,75 | n=1000 | run=1","reverse_entropy",0.75,1000,1,501498,362914,2454652,142
"PancakeSort","reverse entropy | h=0,75 | n=1000 | run=2","reverse_entropy",0.75,1000,2,501498,363492,2456964,108
"PancakeSort","reverse entropy | h=0,75 | n=1000 | run=3","reverse_entropy",0.75,1000,3,501498,366388,2468548,124
"PancakeSort","reverse entropy | h=0,75 | n=1000 | run=4","reverse_entropy",0.75,1000,4,501498,360652,2445604,114
