algorithm,generatorLabel,generatorType,entropy,size,run,comparisons,swaps,accesses,timeMs
"CocktailShakerSort","entropy | h=0,50 | n=1000 | run=1","entropy",0.50,1000,1,61015,39651,201332,13
"CocktailShakerSort","entropy | h=0,50 | n=1000 | run=2","entropy",0.50,1000,2,55375,35961,182672,12
"CocktailShakerSort","entropy | h=0,50 | n=1000 | run=3","entropy",0.50,1000,3,55375,35955,182660,12
"CocktailShakerSort","entropy | h=0,50 | n=1000 | run=4","entropy",0.50,1000,4,66619,41669,216576,14
"CocktailShakerSort","reverse entropy | h=0,50 | n=1000 | run=1","reverse_entropy",0.50,1000,1,499032,469637,1937338,131
"CocktailShakerSort","reverse entropy | h=0,50 | n=1000 | run=2","reverse_entropy",0.50,1000,2,498432,464581,1926026,118
"CocktailShakerSort","reverse entropy | h=0,50 | n=1000 | run=3","reverse_entropy",0.50,1000,3,498078,462813,1921782,165
"CocktailShakerSort","reverse entropy | h=0,50 | n=1000 | run=4","reverse_entropy",0.50,1000,4,499422,471301,1941446,106
"CocktailShakerSort","entropy | h=0,75 | n=1000 | run=1","entropy",0.75,1000,1,309655,207742,1034794,54
"CocktailShakerSort","entropy | h=0,75 | n=1000 | run=2","entropy",0.75,1000,2,320599,213328,1067854,113
"CocktailShakerSort","entropy | h=0,75 | n=1000 | run=3","entropy",0.75,1000,3,315775,210378,1052306,55
"CocktailShakerSort","entropy | h=0,75 | n=1000 | run=4","entropy",0.75,1000,4,330055,215986,1092082,58
"CocktailShakerSort","reverse entropy | h=0,75 | n=1000 | run=1","reverse_entropy",0.75,1000,1,436987,296646,1467266,78
"CocktailShakerSort","reverse entropy | h=0,75 | n=1000 | run=2","reverse_entropy",0.75,1000,2,424339,289770,1428218,121
"CocktailShakerSort","reverse entropy | h=0,75 | n=1000 | run=3","reverse_entropy",0.75,1000,3,429687,286562,1432498,75
"CocktailShakerSort","reverse entropy | h=0,75 | n=1000 | run=4","reverse_entropy",0.75,1000,4,427038,294100,1442276,106
