algorithm,generatorLabel,generatorType,entropy,size,run,comparisons,swaps,accesses,timeMs
"QuickSort","random | n=1000 | run=3","random",-1.00,1000,3,10994,5412,27899,2
"QuickSort","random | n=1000 | run=4","random",-1.00,1000,4,11957,7792,36001,3
"QuickSort","entropy | h=0,00 | n=1000 | run=1","entropy",0.00,1000,1,499500,500499,2001996,156
"QuickSort","entropy | h=0,00 | n=1000 | run=2","entropy",0.00,1000,2,499500,500499,2001996,140
"QuickSort","entropy | h=0,00 | n=1000 | run=3","entropy",0.00,1000,3,499500,500499,2001996,137
"QuickSort","entropy | h=0,00 | n=1000 | run=4","entropy",0.00,1000,4,499500,500499,2001996,120
"QuickSort","reverse entropy | h=0,00 | n=1000 | run=1","reverse_entropy",0.00,1000,1,499500,250499,1251996,93
"QuickSort","reverse entropy | h=0,00 | n=1000 | run=2","reverse_entropy",0.00,1000,2,499500,250499,1251996,137
"QuickSort","reverse entropy | h=0,00 | n=1000 | run=3","reverse_entropy",0.00,1000,3,499500,250499,1251996,81
"QuickSort","reverse entropy | h=0,00 | n=1000 | run=4","reverse_entropy",0.00,1000,4,499500,250499,1251996,78
"QuickSort","entropy | h=0,25 | n=1000 | run=1","entropy",0.25,1000,1,32092,11399,67038,4
"QuickSort","entropy | h=0,25 | n=1000 | run=2","entropy",0.25,1000,2,53524,37682,167394,8
"QuickSort","entropy | h=0,25 | n=1000 | run=3","entropy",0.25,1000,3,95245,60375,277134,15
"QuickSort","entropy | h=0,25 | n=1000 | run=4","entropy",0.25,1000,4,76538,49813,226764,15
"QuickSort","reverse entropy | h=0,25 | n=1000 | run=1","reverse_entropy",0.25,1000,1,29339,14856,74835,5
"QuickSort","reverse entropy | h=0,25 | n=1000 | run=2","reverse_entropy",0.25,1000,2,77895,39353,196885,15
"QuickSort","reverse entropy | h=0,25 | n=1000 | run=3","reverse_entropy",0.25,1000,3,28327,14712,73387,42
"QuickSort","reverse entropy | h=0,25 | n=1000 | run=4","reverse_entropy",0.25,1000,4,76855,38896,194478,11
"QuickSort","entropy | h=0,50 | n=1000 | run=1","entropy",0.50,1000,1,35852,14314,79611,4
"QuickSort","entropy | h=0,50 | n=1000 | run=2","entropy",0.50,1000,2,23737,8487,50002,3
"QuickSort","entropy | h=0,50 | n=1000 | run=3","entropy",0.50,1000,3,19764,6532,40159,2
"QuickSort","entropy | h=0,50 | n=1000 | run=4","entropy",0.50,1000,4,46500,36048,155440,7
"QuickSort","reverse entropy | h=0,50 | n=1000 | run=1","reverse_entropy",0.50,1000,1,21978,10697,54903,3
"QuickSort","reverse entropy | h=0,50 | n=1000 | run=2","reverse_entropy",0.50,1000,2,26524,13526,67934,4
"QuickSort","reverse entropy | h=0,50 | n=1000 | run=3","reverse_entropy",0.50,1000,3,18787,9709,48741,3
"QuickSort","reverse entropy | h=0,50 | n=1000 | run=4","reverse_entropy",0.50,1000,4,27544,13284,68233,4
"QuickSort","entropy | h=0,75 | n=1000 | run=1","entropy",0.75,1000,1,10615,6195,29871,2
"QuickSort","entropy | h=0,75 | n=1000 | run=2","entropy",0.75,1000,2,12416,6114,31409,1
"QuickSort","entropy | h=0,75 | n=1000 | run=3","entropy",0.75,1000,3,10502,5969,29072,1
"QuickSort","entropy | h=0,75 | n=1000 | run=4","entropy",0.75,1000,4,11137,6263,30600,2
"QuickSort","reverse entropy | h=0,75 | n=1000 | run=1","reverse_entropy",0.75,1000,1,13121,6275,32615,1
"QuickSort","reverse entropy | h=0,75 | n=1000 | run=2","reverse_entropy",0.75,1000,2,10786,6274,30277,2
"QuickSort","reverse entropy | h=0,75 | n=1000 | run=3","reverse_entropy",0.75,1000,3,12704,5642,30303,2
"QuickSort","reverse entropy | h=0,75 | n=1000 | run=4","reverse_entropy",0.75,1000,4,11605,6029,30358,1
