algorithm,generatorLabel,generatorType,entropy,size,run,comparisons,swaps,accesses,timeMs
"InsertionSorting","entropy | h=0,00 | n=1000 | run=1","entropy",0.00,1000,1,999,0,1998,1
"InsertionSorting","entropy | h=0,00 | n=1000 | run=2","entropy",0.00,1000,2,999,0,1998,0
"InsertionSorting","entropy | h=0,00 | n=1000 | run=3","entropy",0.00,1000,3,999,0,1998,0
"InsertionSorting","entropy | h=0,00 | n=1000 | run=4","entropy",0.00,1000,4,999,0,1998,0
"InsertionSorting","reverse entropy | h=0,00 | n=1000 | run=1","reverse_entropy",0.00,1000,1,499500,499500,1998000,129
"InsertionSorting","reverse entropy | h=0,00 | n=1000 | run=2","reverse_entropy",0.00,1000,2,499500,499500,1998000,153
"InsertionSorting","reverse entropy | h=0,00 | n=1000 | run=3","reverse_entropy",0.00,1000,3,499500,499500,1998000,125
"InsertionSorting","reverse entropy | h=0,00 | n=1000 | run=4","reverse_entropy",0.00,1000,4,499500,499500,1998000,117
"InsertionSorting","entropy | h=0,25 | n=1000 | run=1","entropy",0.25,1000,1,15594,14595,60378,4
"InsertionSorting","entropy | h=0,25 | n=1000 | run=2","entropy",0.25,1000,2,14762,13763,57050,4
"InsertionSorting","entropy | h=0,25 | n=1000 | run=3","entropy",0.25,1000,3,14638,13639,56554,4
"InsertionSorting","entropy | h=0,25 | n=1000 | run=4","entropy",0.25,1000,4,14832,13833,57330,4
"InsertionSorting","reverse entropy | h=0,25 | n=1000 | run=1","reverse_entropy",0.25,1000,1,486683,485741,1944848,173
"InsertionSorting","reverse entropy | h=0,25 | n=1000 | run=2","reverse_entropy",0.25,1000,2,487567,486677,1948488,109
"InsertionSorting","reverse entropy | h=0,25 | n=1000 | run=3","reverse_entropy",0.25,1000,3,486026,485051,1942154,167
"InsertionSorting","reverse entropy | h=0,25 | n=1000 | run=4","reverse_entropy",0.25,1000,4,486122,485197,1942638,106
"InsertionSorting","entropy | h=0,50 | n=1000 | run=1","entropy",0.50,1000,1,36082,35083,142330,7
"InsertionSorting","entropy | h=0,50 | n=1000 | run=2","entropy",0.50,1000,2,34014,33015,134058,6
"InsertionSorting","entropy | h=0,50 | n=1000 | run=3","entropy",0.50,1000,3,40914,39915,161658,35
"InsertionSorting","entropy | h=0,50 | n=1000 | run=4","entropy",0.50,1000,4,39010,38011,154042,10
