algorithm,generatorLabel,generatorType,entropy,size,run,comparisons,swaps,accesses,timeMs
"CombSort","reverse entropy | h=0,50 | n=1000 | run=1","reverse_entropy",0.50,1000,1,22709,3321,52060,3
"CombSort","reverse entropy | h=0,50 | n=1000 | run=2","reverse_entropy",0.50,1000,2,21710,3551,50522,3
"CombSort","reverse entropy | h=0,50 | n=1000 | run=3","reverse_entropy",0.50,1000,3,22709,3467,52352,17
"CombSort","reverse entropy | h=0,50 | n=1000 | run=4","reverse_entropy",0.50,1000,4,21710,3593,50606,3
"CombSort","entropy | h=0,75 | n=1000 | run=1","entropy",0.75,1000,1,22709,4336,54090,3
"CombSort","entropy | h=0,75 | n=1000 | run=2","entropy",0.75,1000,2,22709,4224,53866,2
"CombSort","entropy | h=0,75 | n=1000 | run=3","entropy",0.75,1000,3,23708,4424,56264,3
"CombSort","entropy | h=0,75 | n=1000 | run=4","entropy",0.75,1000,4,21710,4354,52128,3
"CombSort","reverse entropy | h=0,75 | n=1000 | run=1","reverse_entropy",0.75,1000,1,22709,4528,54474,3
"CombSort","reverse entropy | h=0,75 | n=1000 | run=2","reverse_entropy",0.75,1000,2,22709,4586,54590,3
"CombSort","reverse entropy | h=0,75 | n=1000 | run=3","reverse_entropy",0.75,1000,3,21710,4416,52252,3
"CombSort","reverse entropy | h=0,75 | n=1000 | run=4","reverse_entropy",0.75,1000,4,22709,4454,54326,3
